# PWV zflux iflux rflux
0.000000000000000000e+00 3.692994467260189377e+21 4.888408216380336243e+21 5.248355207680378274e+21
5.000000000000000000e-01 3.624539411783174062e+21 4.878024520682829775e+21 5.246567478425511002e+21
1.000000000000000000e+00 3.578059976368420028e+21 4.868377023240619426e+21 5.244813834639016722e+21
1.500000000000000000e+00 3.540142528545916191e+21 4.859343978389910323e+21 5.243090630082378596e+21
2.000000000000000000e+00 3.507331764927708791e+21 4.850829992088366481e+21 5.241394883247065793e+21
2.500000000000000000e+00 3.478068399698652692e+21 4.842759503466736910e+21 5.239724135007764087e+21
3.000000000000000000e+00 3.451474102498738831e+21 4.835072016703891177e+21 5.238076338816969343e+21
3.500000000000000000e+00 3.426990024843845435e+21 4.827718585718586474e+21 5.236449775732998013e+21
4.000000000000000000e+00 3.404231959986874876e+21 4.820659201695750816e+21 5.234842988442007110e+21
4.500000000000000000e+00 3.382921204847716336e+21 4.813860835783970128e+21 5.233254729842451022e+21
5.000000000000000000e+00 3.362847439131884650e+21 4.807295960633222103e+21 5.231683922822670844e+21
5.500000000000000000e+00 3.343847044224842203e+21 4.800941424438820209e+21 5.230129628665129992e+21
6.000000000000000000e+00 3.325789614954073555e+21 4.794777586394718011e+21 5.228591022118244712e+21
6.500000000000000000e+00 3.308569145203788087e+21 4.788787647436401148e+21 5.227067371637348237e+21
7.000000000000000000e+00 3.292098035340659917e+21 4.782957127962195919e+21 5.225558023645874356e+21
7.500000000000000000e+00 3.276302882996775551e+21 4.777273456995302638e+21 5.224062389933998866e+21
8.000000000000000000e+00 3.261121444372913586e+21 4.771725646467199664e+21 5.222579937514549674e+21
8.500000000000000000e+00 3.246500388747869159e+21 4.766304030997131297e+21 5.221110180410762985e+21
9.000000000000000000e+00 3.232393605412414816e+21 4.761000058433797358e+21 5.219652672968942682e+21
9.500000000000000000e+00 3.218760904566469820e+21 4.755806120022306193e+21 5.218207004379839463e+21
1.000000000000000000e+01 3.205567005057828258e+21 4.750715411721352118e+21 5.216772794162312380e+21
1.050000000000000000e+01 3.192780734818606907e+21 4.745721820177895522e+21 5.215349688416702824e+21
1.100000000000000000e+01 3.180374391597871661e+21 4.740819828352336527e+21 5.213937356696681710e+21
1.150000000000000000e+01 3.168323226259641860e+21 4.736004436907779949e+21 5.212535489380647698e+21
1.200000000000000000e+01 3.156605021022186897e+21 4.731271098327156916e+21 5.211143795448634933e+21
1.250000000000000000e+01 3.145199742108719645e+21 4.726615661371453342e+21 5.209762000590080049e+21
1.300000000000000000e+01 3.134089251343177875e+21 4.722034323991128703e+21 5.208389845583062368e+21
1.350000000000000000e+01 3.123257064895414796e+21 4.717523593188238426e+21 5.207027084897455964e+21
1.400000000000000000e+01 3.112688150077778166e+21 4.713080250626692612e+21 5.205673485483802362e+21
1.450000000000000000e+01 3.102368753103169126e+21 4.708701323022360379e+21 5.204328825717108244e+21
1.500000000000000000e+01 3.092286252227008922e+21 4.704384056529065607e+21 5.202992894470528172e+21
1.550000000000000000e+01 3.082429031846733414e+21 4.700125894482336416e+21 5.201665490298643415e+21
1.600000000000000000e+01 3.072786374017435566e+21 4.695924457978649903e+21 5.200346420713636233e+21
1.650000000000000000e+01 3.063348364528853713e+21 4.691777528860489810e+21 5.199035501540706091e+21
1.700000000000000000e+01 3.054105811226257785e+21 4.687683034752097452e+21 5.197732556341349712e+21
1.750000000000000000e+01 3.045050172681443344e+21 4.683639035850764321e+21 5.196437415895192568e+21
1.800000000000000000e+01 3.036173495656807662e+21 4.679643713227475386e+21 5.195149917732442472e+21
1.850000000000000000e+01 3.027468360074872226e+21 4.675695358430284349e+21 5.193869905710465155e+21
1.900000000000000000e+01 3.018927830422635676e+21 4.671792364216642437e+21 5.192597229628876128e+21
