# PWV uflux gflux rflux iflux zflux yflux
0.000000000000000000e+00 1.727727351605998060e+20 1.502603319975352205e+21 1.700343489863404487e+21 1.373580023118193230e+21 9.277824666237515858e+20 5.003011293688315904e+20
5.000000000000000000e-01 1.727727011151814328e+20 1.502581969344442401e+21 1.700051438562652979e+21 1.371225003491098886e+21 9.233538302190484193e+20 4.845222502668913213e+20
1.000000000000000000e+00 1.727726670711487857e+20 1.502560627557929583e+21 1.699760569062463111e+21 1.368969681167616573e+21 9.194237781441919058e+20 4.737097405199055585e+20
1.500000000000000000e+00 1.727726330285019300e+20 1.502539294605068730e+21 1.699470866725753848e+21 1.366803420354030338e+21 9.158263904391654277e+20 4.650360328982539141e+20
2.000000000000000000e+00 1.727725989872407347e+20 1.502517970475133960e+21 1.699182317215158632e+21 1.364717114070860038e+21 9.124865388157892035e+20 4.576271626098643436e+20
2.500000000000000000e+00 1.727725649473649377e+20 1.502496655157419835e+21 1.698894906485012693e+21 1.362702931246103921e+21 9.093576798259844219e+20 4.510851285701695898e+20
3.000000000000000000e+00 1.727725309088745390e+20 1.502475348641239532e+21 1.698608620773589910e+21 1.360754109215235375e+21 9.064069942730028483e+20 4.451879224125155574e+20
3.500000000000000000e+00 1.727724968717694730e+20 1.502454050915926147e+21 1.698323446595584262e+21 1.358864783026622562e+21 9.036097553282185298e+20 4.397961046259548815e+20
4.000000000000000000e+00 1.727724628360495759e+20 1.502432761970832703e+21 1.698039370734812004e+21 1.357029844642897854e+21 9.009465771828303626e+20 4.348149682252681708e+20
4.500000000000000000e+00 1.727724288017147494e+20 1.502411481795331621e+21 1.697756380237146358e+21 1.355244826478472069e+21 8.984018500149615002e+20 4.301765063339204936e+20
5.000000000000000000e+00 1.727723947687648952e+20 1.502390210378814194e+21 1.697474462403667427e+21 1.353505804791708647e+21 8.959627564238708408e+20 4.258298119492257710e+20
5.500000000000000000e+00 1.727723607371998822e+20 1.502368947710692164e+21 1.697193604784017375e+21 1.351809319312890003e+21 8.936186098594524692e+20 4.217355328324432036e+20
6.000000000000000000e+00 1.727723267070197105e+20 1.502347693780394836e+21 1.696913795169959018e+21 1.350152306180243849e+21 8.913603879766227681e+20 4.178624603295312118e+20
6.500000000000000000e+00 1.727722926782240522e+20 1.502326448577373274e+21 1.696635021589130772e+21 1.348532041810851922e+21 8.891803919652155556e+20 4.141853229617488855e+20
7.000000000000000000e+00 1.727722586508129731e+20 1.502305212091095581e+21 1.696357272298992173e+21 1.346946095778956050e+21 8.870719913205653832e+20 4.106832998803499909e+20
7.500000000000000000e+00 1.727722246247863747e+20 1.502283984311050830e+21 1.696080535780944773e+21 1.345392291132933407e+21 8.850294286986592911e+20 4.073389849570916434e+20
8.000000000000000000e+00 1.727721906001440604e+20 1.502262765226746970e+21 1.695804800734639686e+21 1.343868670871489479e+21 8.830476682176410419e+20 4.041376441403256340e+20
8.500000000000000000e+00 1.727721565768859648e+20 1.502241554827709514e+21 1.695530056072446607e+21 1.342373469533299802e+21 8.811222758758715228e+20 4.010666700248471306e+20
9.000000000000000000e+00 1.727721225550119895e+20 1.502220353103485469e+21 1.695256290914091663e+21 1.340905089043390792e+21 8.792493241433574605e+20 3.981151728164729651e+20
9.500000000000000000e+00 1.727720885345220362e+20 1.502199160043638882e+21 1.694983494581459616e+21 1.339462078112858112e+21 8.774253150257473126e+20 3.952736679482903757e+20
1.000000000000000000e+01 1.727720545154159739e+20 1.502177975637753463e+21 1.694711656593539203e+21 1.338043114613019509e+21 8.756471174299414692e+20 3.925338336580768236e+20
1.050000000000000000e+01 1.727720204976936714e+20 1.502156799875432841e+21 1.694440766661527863e+21 1.336646990446431044e+21 8.739119157298308055e+20 3.898883201674109911e+20
1.100000000000000000e+01 1.727719864813550633e+20 1.502135632746298474e+21 1.694170814684080112e+21 1.335272598519833952e+21 8.722171671935763087e+20 3.873305975628656804e+20
1.150000000000000000e+01 1.727719524664000184e+20 1.502114474239991218e+21 1.693901790742685417e+21 1.333918921491631833e+21 8.705605664874485514e+20 3.848548331426431631e+20
1.200000000000000000e+01 1.727719184528284713e+20 1.502093324346170278e+21 1.693633685097196552e+21 1.332585022021788762e+21 8.689400158789025137e+20 3.824557915013477171e+20
1.250000000000000000e+01 1.727718844406402908e+20 1.502072183054514258e+21 1.693366488181475639e+21 1.331270034297434145e+21 8.673536000656568484e+20 3.801287523772649308e+20
1.300000000000000000e+01 1.727718504298353132e+20 1.502051050354721161e+21 1.693100190599176258e+21 1.329973156644780245e+21 8.657995647869782589e+20 3.778694425302890578e+20
1.350000000000000000e+01 1.727718164204134728e+20 1.502029926236505768e+21 1.692834783119639839e+21 1.328693645068738757e+21 8.642762985482772808e+20 3.756739788156004598e+20
1.400000000000000000e+01 1.727717824123747697e+20 1.502008810689603568e+21 1.692570256673916846e+21 1.327430807587045769e+21 8.627823169247055708e+20 3.735388202742673572e+20
1.450000000000000000e+01 1.727717484057189417e+20 1.501987703703766827e+21 1.692306602350901985e+21 1.326183999246758838e+21 8.613162490139034255e+20 3.714607275481502843e+20
1.500000000000000000e+01 1.727717144004458906e+20 1.501966605268768522e+21 1.692043811393573749e+21 1.324952617728474087e+21 8.598768256897637417e+20 3.694367282911245107e+20
1.550000000000000000e+01 1.727716803965556490e+20 1.501945515374398669e+21 1.691781875195351400e+21 1.323736099458153185e+21 8.584628693735020954e+20 3.674640875251912540e+20
1.600000000000000000e+01 1.727716463940479549e+20 1.501924434010466157e+21 1.691520785296550789e+21 1.322533916158580228e+21 8.570732850894410875e+20 3.655402821019336704e+20
1.650000000000000000e+01 1.727716123929227756e+20 1.501903361166798488e+21 1.691260533380940300e+21 1.321345571782610911e+21 8.557070526137521930e+20 3.636629785936951378e+20
1.700000000000000000e+01 1.727715783931799798e+20 1.501882296833242038e+21 1.691001111272391442e+21 1.320170599778884518e+21 8.543632195572400128e+20 3.618300140667909571e+20
1.750000000000000000e+01 1.727715443948195021e+20 1.501861240999659700e+21 1.690742510931635864e+21 1.319008560647798260e+21 8.530408952497940726e+20 3.600393792897482752e+20
1.800000000000000000e+01 1.727715103978412114e+20 1.501840193655936123e+21 1.690484724453098390e+21 1.317859039751568884e+21 8.517392453157004247e+20 3.582892040094200627e+20
1.850000000000000000e+01 1.727714764022450094e+20 1.501819154791970898e+21 1.690227744061830463e+21 1.316721645347282878e+21 8.504574868466631967e+20 3.565777439916068045e+20
1.900000000000000000e+01 1.727714424080307323e+20 1.501798124397683802e+21 1.689971562110521704e+21 1.315596006816129745e+21 8.491948840938526474e+20 3.549033695741303849e+20
1.950000000000000000e+01 1.727714084151983473e+20 1.501777102463012176e+21 1.689716171076600857e+21 1.314481773065662628e+21 8.479507446122613309e+20 3.532645555218269471e+20
